pdb_id	PDBbind_v18_subset	PLANet_v18	PDBbind_v18_subset_union_PLANet_v18
6hth	0.46808510638297873	0.5681818181818182	0.5681818181818182
6g2n	0.32051282051282054	0.4246575342465753	0.4246575342465753
6afr	0.41304347826086957	0.41304347826086957	0.41304347826086957
6f3e	0.3	0.29292929292929293	0.3
6fgy	0.8103448275862069	0.6935483870967742	0.8103448275862069
6ay5	0.24731182795698925	0.45977011494252873	0.45977011494252873
6f3g	0.29850746268656714	0.31343283582089554	0.31343283582089554
6g2l	0.3684210526315789	0.375	0.375
6htg	0.5625	0.7027027027027027	0.7027027027027027
6c7x	0.5161290322580645	0.7169811320754716	0.7169811320754716
6c3e	0.4444444444444444	0.4444444444444444	0.4444444444444444
6b30	0.28735632183908044	0.3188405797101449	0.3188405797101449
5xmx	0.25301204819277107	0.3116883116883117	0.3116883116883117
6cki	0.25	0.3333333333333333	0.3333333333333333
5lvx	0.2823529411764706	0.30927835051546393	0.30927835051546393
6cz3	0.4222222222222222	0.6708860759493671	0.6708860759493671
6db3	0.38461538461538464	0.36363636363636365	0.38461538461538464
5zah	0.3684210526315789	0.3561643835616438	0.3684210526315789
6dm8	0.4666666666666667	0.8522727272727273	0.8522727272727273
5xva	0.3020833333333333	0.31521739130434784	0.31521739130434784
6ckr	0.3380281690140845	0.4057971014492754	0.4057971014492754
6db4	0.3125	0.44776119402985076	0.44776119402985076
6ex1	0.4727272727272727	0.4727272727272727	0.4727272727272727
6hvh	0.3	0.3614457831325301	0.3614457831325301
5ttg	0.6607142857142857	0.576271186440678	0.6607142857142857
6ck3	0.28	0.3333333333333333	0.3333333333333333
6d55	0.2875	0.2289156626506024	0.2875
6e4a	0.3	0.35365853658536583	0.35365853658536583
6h1i	0.41509433962264153	0.41509433962264153	0.41509433962264153
5lny	0.28	0.35	0.35
5zaj	0.3442622950819672	0.32051282051282054	0.3442622950819672
6bl2	0.31313131313131315	0.35714285714285715	0.35714285714285715
5oqw	0.47368421052631576	0.5098039215686274	0.5098039215686274
6g9k	0.4631578947368421	0.4835164835164835	0.4835164835164835
6fyz	0.3448275862068966	0.32786885245901637	0.3448275862068966
6ed6	0.38461538461538464	0.39285714285714285	0.39285714285714285
6ceh	0.41935483870967744	0.5294117647058824	0.5294117647058824
5msb	0.4090909090909091	0.56	0.56
5nlk	0.55	0.5555555555555556	0.5555555555555556
5ny3	0.5813953488372093	0.7619047619047619	0.7619047619047619
5mwp	0.3717948717948718	0.38028169014084506	0.38028169014084506
5za1	0.6	0.6785714285714286	0.6785714285714286
5yjb	0.3561643835616438	0.3291139240506329	0.3561643835616438
6bbu	0.4057971014492754	0.7678571428571429	0.7678571428571429
6hsh	0.39436619718309857	0.3541666666666667	0.39436619718309857
6mrg	0.3018867924528302	0.43283582089552236	0.43283582089552236
5wj6	0.7090909090909091	0.8	0.8
5xst	0.35526315789473684	0.4411764705882353	0.4411764705882353
6gla	0.5822784810126582	0.5645161290322581	0.5822784810126582
5owc	0.3382352941176471	0.345679012345679	0.345679012345679
6guh	0.5573770491803278	0.6909090909090909	0.6909090909090909
6ary	0.22058823529411764	0.2698412698412698	0.2698412698412698
6hjk	0.5844155844155844	0.5362318840579711	0.5844155844155844
6gub	0.29508196721311475	0.4393939393939394	0.4393939393939394
5wf5	0.28346456692913385	0.8131868131868132	0.8131868131868132
6dk1	0.2857142857142857	0.28	0.2857142857142857
6bw2	0.47058823529411764	0.925	0.925
6f3i	0.3048780487804878	0.3068181818181818	0.3068181818181818
5xsr	0.29577464788732394	0.323943661971831	0.323943661971831
5ni7	0.3614457831325301	0.4444444444444444	0.4444444444444444
5ni8	0.4230769230769231	0.4657534246575342	0.4657534246575342
6cn5	0.345679012345679	0.345679012345679	0.345679012345679
6f1x	0.45454545454545453	0.4626865671641791	0.4626865671641791
6gbx	0.2698412698412698	0.2976190476190476	0.2976190476190476
6m9t	0.33962264150943394	0.33962264150943394	0.33962264150943394
5nib	0.4	0.45977011494252873	0.45977011494252873
5nyh	0.2828282828282828	0.3375	0.3375
6c7g	0.32323232323232326	0.49411764705882355	0.49411764705882355
5j6n	0.25316455696202533	0.2876712328767123	0.2876712328767123
5uz0	0.3116883116883117	0.3146067415730337	0.3146067415730337
5w0f	0.654320987654321	0.9565217391304348	0.9565217391304348
5y7z	0.6533333333333333	0.7246376811594203	0.7246376811594203
6cks	0.38028169014084506	0.40298507462686567	0.40298507462686567
5wf6	0.28346456692913385	0.8131868131868132	0.8131868131868132
5fxq	0.3103448275862069	0.45	0.45
5ny6	0.47540983606557374	0.47540983606557374	0.47540983606557374
5hvu	0.43243243243243246	0.8208955223880597	0.8208955223880597
5j6l	0.2804878048780488	0.30120481927710846	0.30120481927710846
5olb	0.38461538461538464	0.38461538461538464	0.38461538461538464
6ckx	0.3424657534246575	0.3626373626373626	0.3626373626373626
5nut	0.6585365853658537	0.6585365853658537	0.6585365853658537
6b5a	0.46296296296296297	0.5094339622641509	0.5094339622641509
6en6	0.4444444444444444	0.4727272727272727	0.4727272727272727
5xv7	0.25510204081632654	0.75	0.75
6eqm	0.30927835051546393	0.4883720930232558	0.4883720930232558
6gl3	0.2696629213483146	0.3258426966292135	0.3258426966292135
6h3k	0.4875	0.6216216216216216	0.6216216216216216
5nxp	0.6046511627906976	0.6222222222222222	0.6222222222222222
5w0q	0.2777777777777778	0.3384615384615385	0.3384615384615385
6ay3	0.26881720430107525	0.4574468085106383	0.4574468085106383
5w6e	0.43333333333333335	0.43333333333333335	0.43333333333333335
5fxs	0.30303030303030304	0.4387755102040816	0.4387755102040816
5oci	0.2912621359223301	0.3409090909090909	0.3409090909090909
5xvg	0.3058823529411765	0.3058823529411765	0.3058823529411765
6b2q	0.35064935064935066	0.4520547945205479	0.4520547945205479
6d56	0.2289156626506024	0.3023255813953488	0.3023255813953488
6esn	0.27586206896551724	0.28888888888888886	0.28888888888888886
6evr	0.48214285714285715	0.48214285714285715	0.48214285714285715
6b59	0.46296296296296297	0.5094339622641509	0.5094339622641509
5xyz	0.391304347826087	0.3835616438356164	0.391304347826087
6g9m	0.3684210526315789	0.425531914893617	0.425531914893617
6gwr	0.47959183673469385	0.44660194174757284	0.47959183673469385
6ma5	0.3238095238095238	0.3177570093457944	0.3238095238095238
6h38	0.4444444444444444	0.47540983606557374	0.47540983606557374
6d1l	0.4375	0.45161290322580644	0.45161290322580644
6fyl	0.5230769230769231	0.8269230769230769	0.8269230769230769
